iter	Passed	Remaining
408	4698	6788
409	4708	6775
410	4719	6762
411	4728	6748
412	4739	6736
413	4750	6724
414	4760	6711
415	4770	6697
416	4781	6685
417	4792	6672
418	4804	6662
419	4815	6650
420	4826	6637
421	4839	6628
422	4851	6617
423	4861	6604
424	4872	6592
425	4883	6579
426	4895	6568
427	4906	6557
428	4917	6545
429	4927	6532
430	4939	6520
431	4952	6511
432	4962	6498
433	4974	6486
434	4985	6475
435	4996	6463
436	5008	6453
437	5018	6438
438	5030	6428
439	5040	6415
440	5053	6405
441	5063	6392
442	5074	6380
443	5085	6368
444	5096	6356
445	5106	6343
446	5117	6330
447	5129	6319
448	5139	6306
449	5151	6296
450	5161	6282
451	5170	6269
452	5182	6257
453	5192	6244
454	5202	6231
455	5213	6219
456	5222	6204
457	5233	6193
458	5244	6180
459	5255	6169
460	5265	6156
461	5277	6145
462	5287	6132
463	5297	6119
464	5308	6107
465	5320	6096
466	5329	6083
467	5340	6071
468	5350	6057
469	5361	6045
470	5371	6033
471	5381	6019
472	5391	6007
473	5401	5994
474	5412	5982
475	5425	5972
476	5435	5959
477	5447	5948
478	5459	5938
479	5469	5925
480	5482	5915
481	5491	5901
482	5501	5888
483	5514	5878
484	5525	5867
485	5535	5854
486	5547	5843
487	5559	5833
488	5571	5822
489	5581	5809
490	5592	5797
491	5604	5786
492	5616	5775
493	5626	5762
494	5637	5751
495	5649	5740
496	5659	5728
497	5670	5715
498	5681	5704
499	5692	5692
500	5703	5680
501	5714	5668
502	5724	5655
503	5734	5643
504	5744	5631
505	5757	5620
506	5768	5609
507	5778	5596
508	5788	5583
509	5798	5571
510	5809	5559
511	5818	5546
512	5829	5534
513	5840	5522
514	5851	5510
515	5861	5498
516	5871	5485
517	5883	5474
518	5892	5461
519	5902	5448
520	5912	5435
521	5923	5424
522	5934	5412
523	5944	5400
524	5957	5390
525	5969	5379
526	5980	5367
527	5991	5356
528	6000	5342
529	6010	5329
530	6021	5318
531	6032	5306
532	6041	5293
533	6051	5280
534	6062	5269
535	6072	5256
536	6081	5243
537	6092	5231
538	6101	5218
539	6112	5207
540	6124	5196
541	6134	5184
542	6145	5172
543	6157	5161
544	6167	5148
545	6178	5137
546	6188	5124
547	6199	5113
548	6209	5101
549	6221	5090
550	6231	5078
551	6241	5065
552	6253	5054
553	6265	5044
554	6275	5031
555	6286	5019
556	6296	5008
557	6307	4996
558	6318	4985
559	6332	4975
560	6343	4963
561	6354	4952
562	6364	4940
563	6373	4927
564	6385	4916
565	6396	4904
566	6407	4893
567	6417	4880
568	6429	4869
569	6439	4857
570	6450	4846
571	6461	4835
572	6473	4823
573	6485	4813
574	6497	4802
575	6506	4789
576	6518	4778
577	6528	4766
578	6540	4755
579	6550	4743
580	6560	4730
581	6571	4719
582	6581	4707
583	6592	4695
584	6603	4684
585	6614	4673
586	6626	4662
587	6637	4650
588	6648	4639
589	6658	4627
590	6670	4616
591	6681	4605
592	6693	4593
593	6704	4582
594	6716	4571
595	6726	4559
596	6737	4547
597	6747	4536
598	6757	4523
599	6768	4512
600	6777	4499
601	6789	4488
602	6801	4477
603	6812	4466
604	6822	4454
605	6833	4443
606	6844	4431
607	6853	4418
608	6864	4407
609	6874	4395
610	6886	4384
611	6896	4372
612	6908	4361
613	6920	4350
614	6932	4340
615	6944	4328
616	6956	4318
617	6967	4306
618	6977	4294
619	6986	4282
620	6997	4270
621	7006	4257
622	7017	4246
623	7028	4235
624	7041	4224
625	7051	4212
626	7063	4201
627	7075	4191
628	7086	4179
629	7098	4168
630	7107	4156
631	7119	4145
632	7130	4134
633	7142	4123
634	7154	4112
635	7163	4099
636	7172	4087
637	7183	4076
638	7195	4065
639	7206	4053
640	7218	4042
641	7231	4032
642	7242	4021
643	7252	4009
644	7262	3997
645	7272	3985
646	7282	3973
647	7294	3962
648	7305	3951
649	7316	3939
650	7327	3928
651	7338	3916
652	7350	3905
653	7361	3894
654	7372	3883
655	7383	3871
656	7392	3859
657	7404	3848
658	7415	3837
659	7426	3825
660	7437	3814
661	7447	3802
662	7457	3790
663	7467	3778
664	7477	3766
665	7489	3755
666	7498	3743
667	7510	3732
668	7520	3721
669	7530	3708
670	7542	3698
671	7553	3686
672	7564	3675
673	7576	3664
674	7586	3652
675	7596	3640
676	7608	3630
677	7621	3619
678	7633	3608
679	7644	3597
680	7656	3586
681	7669	3576
682	7680	3564
683	7692	3554
684	7705	3543
685	7716	3532
686	7727	3520
687	7739	3509
688	7750	3498
689	7762	3487
690	7771	3475
691	7782	3463
692	7791	3451
693	7802	3440
694	7814	3429
695	7825	3417
696	7836	3406
697	7848	3395
698	7859	3384
699	7871	3373
700	7882	3362
701	7893	3350
702	7904	3339
703	7915	3328
704	7925	3316
705	7936	3304
706	7948	3293
707	7957	3281
708	7966	3269
709	7977	3258
710	7987	3246
711	7998	3235
712	8010	3224
713	8020	3212
714	8031	3201
715	8042	3189
716	8052	3178
717	8064	3167
718	8075	3156
719	8085	3144
720	8095	3132
721	8107	3121
722	8119	3110
723	8128	3098
724	8139	3087
725	8148	3075
726	8159	3064
727	8169	3052
728	8180	3041
729	8192	3030
730	8203	3018
731	8213	3007
732	8225	2996
733	8237	2985
734	8249	2974
735	8262	2963
736	8275	2952
737	8286	2941
738	8296	2930
739	8308	2919
740	8319	2907
741	8329	2896
742	8338	2884
743	8349	2872
744	8360	2861
745	8369	2849
746	8381	2838
747	8390	2826
748	8400	2815
749	8411	2803
750	8420	2791
751	8431	2780
752	8441	2768
753	8453	2758
754	8463	2746
755	8475	2735
756	8485	2723
757	8497	2712
758	8508	2701
759	8519	2690
760	8530	2679
761	8543	2668
762	8554	2657
763	8566	2646
764	8577	2634
765	8588	2623
766	8597	2611
767	8608	2600
768	8620	2589
769	8629	2577
770	8639	2566
771	8651	2555
772	8663	2544
773	8676	2533
774	8686	2521
775	8696	2510
776	8705	2498
777	8715	2486
778	8724	2475
779	8734	2463
780	8745	2452
781	8755	2440
782	8768	2429
783	8779	2418
784	8790	2407
785	8801	2396
786	8812	2385
787	8823	2373
788	8832	2362
789	8843	2350
790	8854	2339
791	8863	2327
792	8874	2316
793	8884	2305
794	8895	2293
795	8907	2282
796	8917	2271
797	8929	2260
798	8938	2248
799	8949	2237
800	8959	2225
801	8970	2214
802	8980	2203
803	8992	2192
804	9003	2181
805	9013	2169
806	9023	2158
807	9034	2146
808	9046	2135
809	9055	2124
810	9066	2112
811	9075	2101
812	9085	2089
813	9096	2078
814	9107	2067
815	9118	2056
816	9131	2045
817	9143	2034
818	9155	2023
819	9167	2012
820	9179	2001
821	9191	1990
822	9202	1979
823	9213	1967
824	9225	1956
825	9236	1945
826	9247	1934
827	9259	1923
828	9269	1912
829	9280	1900
830	9292	1889
831	9302	1878
832	9313	1867
833	9324	1856
834	9334	1844
835	9344	1833
836	9356	1822
837	9367	1810
838	9378	1799
839	9388	1788
840	9397	1776
841	9408	1765
842	9417	1753
843	9427	1742
844	9437	1731
845	9449	1720
846	9459	1708
847	9469	1697
848	9478	1685
849	9489	1674
850	9501	1663
851	9512	1652
852	9523	1641
853	9534	1629
854	9543	1618
855	9553	1607
856	9563	1595
857	9572	1584
858	9583	1573
859	9594	1561
860	9606	1550
861	9617	1539
862	9627	1528
863	9636	1516
864	9647	1505
865	9656	1494
866	9668	1483
867	9678	1471
868	9691	1460
869	9702	1449
870	9713	1438
871	9722	1427
872	9732	1415
873	9742	1404
874	9753	1393
875	9764	1382
876	9774	1370
877	9783	1359
878	9795	1348
879	9807	1337
880	9817	1326
881	9827	1314
882	9837	1303
883	9846	1292
884	9857	1280
885	9868	1269
886	9878	1258
887	9890	1247
888	9902	1236
889	9913	1225
890	9924	1214
891	9934	1202
892	9945	1191
893	9956	1180
894	9966	1169
895	9976	1158
896	9988	1146
897	9998	1135
898	10008	1124
899	10018	1113
900	10031	1102
901	10042	1091
902	10052	1079
903	10062	1068
904	10073	1057
905	10085	1046
906	10096	1035
907	10107	1024
908	10117	1012
909	10126	1001
910	10137	990
911	10147	979
912	10158	968
913	10168	956
914	10179	945
915	10191	934
916	10201	923
917	10210	912
918	10220	900
919	10230	889
920	10240	878
921	10252	867
922	10261	856
923	10271	844
924	10281	833
925	10294	822
926	10306	811
927	10315	800
928	10326	789
929	10337	778
930	10347	766
931	10358	755
932	10367	744
933	10379	733
934	10391	722
935	10401	711
936	10412	700
937	10422	688
938	10434	677
939	10444	666
940	10454	655
941	10464	644
942	10473	633
943	10486	622
944	10498	611
945	10509	599
946	10519	588
947	10530	577
948	10542	566
949	10553	555
950	10563	544
951	10574	533
952	10586	522
953	10597	510
954	10605	499
955	10615	488
956	10624	477
957	10635	466
958	10647	455
959	10658	444
960	10668	432
961	10677	421
962	10687	410
963	10699	399
964	10710	388
965	10720	377
966	10728	366
967	10739	355
968	10750	343
969	10761	332
970	10771	321
971	10781	310
972	10791	299
973	10800	288
974	10812	277
975	10821	266
976	10833	255
977	10845	243
978	10856	232
979	10866	221
980	10876	210
981	10886	199
982	10899	188
983	10910	177
984	10921	166
985	10931	155
